instance,treewidth,sharpsat_tw,nestHDB,gpusat
or-60-10-2.cnf,-,0.0,0.23017,0.0036001
or-60-10-2-UC-10.cnf,4,59.97,0.475747,0.32266
or-60-10-2-UC-20.cnf,4,51.99,0.471571,0.332714
or-60-10-2-UC-30.cnf,3,59.96,0.315779,0.352021
or-60-10-2-UC-40.cnf,3,59.96,0.518705,0.31451
or-60-10-3.cnf,-,0.0,0.144062,0.004037
or-60-10-3-UC-10.cnf,4,59.95,0.268907,0.312592
or-60-10-3-UC-20.cnf,4,60.019999999999996,0.509992,0.33404
or-60-10-3-UC-30.cnf,4,53.97,0.438284,0.339774
or-60-10-3-UC-40.cnf,4,54.31,0.495862,0.355891
or-60-10-4.cnf,-,0.0,0.246945,0.00500304
or-60-10-4-UC-10.cnf,-,0.0,0.153424,0.00546398
or-60-10-4-UC-20.cnf,-,0.0,0.165424,0.00497405
or-60-10-4-UC-30.cnf,-,0.0,0.155605,0.00519412
or-60-10-4-UC-40.cnf,-,0.0,0.145085,0.00537393
or-60-10-5.cnf,-,0.0,0.224114,0.00413898
or-60-10-5-UC-10.cnf,3,42.81,0.456618,0.330662
or-60-10-5-UC-20.cnf,4,50.0,0.492833,0.355434
or-60-10-5-UC-30.cnf,3,50.769999999999996,0.413524,0.335725
or-60-10-5-UC-40.cnf,3,59.98,0.449017,0.32689
or-60-10-6.cnf,-,0.0,0.239346,0.00517308
or-60-10-6-UC-10.cnf,4,59.989999999999995,0.48754,0.353877
or-60-10-6-UC-20.cnf,3,59.96,0.455692,0.316159
or-60-10-6-UC-30.cnf,3,59.989999999999995,0.441483,0.322671
or-60-10-6-UC-40.cnf,2,0.01,0.263317,0.320583
or-60-10-7.cnf,-,0.0,0.241266,0.0037849
or-60-10-7-UC-10.cnf,3,59.92,0.467195,0.339907
or-60-10-7-UC-20.cnf,-,0.0,0.165538,0.00560509
or-60-10-7-UC-30.cnf,3,59.97,0.550237,0.3262
or-60-10-7-UC-40.cnf,2,59.98,0.470343,0.311612
or-60-10-8.cnf,-,0.0,0.243881,0.0044191
or-60-10-8-UC-10.cnf,3,59.96,0.517023,0.336409
or-60-10-8-UC-20.cnf,3,59.97,0.379598,0.323457
or-60-10-8-UC-30.cnf,3,24.009999999999998,0.265323,0.324236
or-60-10-8-UC-40.cnf,3,59.93,0.515896,0.330197
or-60-10-9.cnf,-,0.0,0.126615,0.00535805
or-60-10-9-UC-10.cnf,-,0.0,0.172283,0.00385899
or-60-10-9-UC-20.cnf,3,59.95,0.413932,0.304444
or-60-10-9-UC-30.cnf,2,0.02,0.436093,0.310499
or-60-10-9-UC-40.cnf,-,0.0,0.166857,0.00550392
or-60-20-10.cnf,-,0.0,0.126219,0.00433511
or-60-20-10-UC-10.cnf,4,60.0,0.472932,0.355563
or-60-20-10-UC-20.cnf,4,60.0,0.478496,0.327061
or-60-20-10-UC-30.cnf,4,52.519999999999996,0.315323,0.356831
or-60-20-10-UC-40.cnf,3,54.55,0.281384,0.350204
or-60-20-1.cnf,-,0.0,0.160153,0.00539606
or-60-20-1-UC-10.cnf,4,59.989999999999995,0.305608,0.326622
or-60-20-1-UC-20.cnf,2,0.01,0.520369,0.316981
or-60-20-1-UC-30.cnf,4,60.019999999999996,0.498689,0.319704
or-60-20-1-UC-40.cnf,4,60.089999999999996,0.499101,0.34124
or-60-20-2.cnf,-,0.0,0.233661,0.00484891
or-60-20-2-UC-10.cnf,4,59.980000000000004,0.503111,0.330059
or-60-20-2-UC-20.cnf,4,60.03,0.414517,0.324763
or-60-20-2-UC-30.cnf,4,52.519999999999996,0.25937,0.324516
or-60-20-2-UC-40.cnf,4,50.760000000000005,0.269766,0.350433
or-60-20-3.cnf,-,0.0,0.145639,0.00499689
or-60-20-3-UC-10.cnf,4,59.98,0.385673,0.332078
or-60-20-3-UC-20.cnf,4,60.01,0.307962,0.322756
or-60-20-3-UC-30.cnf,4,54.54,0.454429,0.363874
or-60-20-3-UC-40.cnf,3,60.0,0.506898,0.352821
or-60-20-4.cnf,-,0.0,0.146506,0.00395904
or-60-20-4-UC-10.cnf,4,60.03,0.397961,0.365477
or-60-20-4-UC-20.cnf,4,60.01,0.415295,0.339021
or-60-20-4-UC-30.cnf,4,60.099999999999994,0.431236,0.361491
or-60-20-4-UC-40.cnf,4,60.04,0.49117,0.366474
or-60-20-5.cnf,-,0.0,0.130736,0.00502992
or-60-20-5-UC-10.cnf,4,59.989999999999995,0.308538,0.331567
or-60-20-5-UC-20.cnf,4,60.0,0.523768,0.35119
or-60-20-5-UC-30.cnf,4,60.0,0.399493,0.331479
or-60-20-5-UC-40.cnf,4,60.0,0.477295,0.327997
or-60-20-6.cnf,-,0.0,0.146934,0.00466988
or-60-20-6-UC-10.cnf,4,60.02,0.503272,0.353076
or-60-20-6-UC-20.cnf,5,60.0,0.480687,0.341012
or-60-20-6-UC-30.cnf,4,60.0,0.446914,0.350716
or-60-20-6-UC-40.cnf,4,59.99,0.437697,0.353829
or-60-20-7.cnf,-,0.0,0.126254,0.00544911
or-60-20-7-UC-10.cnf,4,59.980000000000004,0.267486,0.332483
or-60-20-7-UC-20.cnf,4,56.28,0.360721,0.358764
or-60-20-7-UC-30.cnf,4,60.010000000000005,0.503399,0.341
or-60-20-7-UC-40.cnf,5,59.99,0.519576,0.355719
or-60-20-8.cnf,-,0.0,0.239028,0.00552994
or-60-20-8-UC-10.cnf,4,52.5,0.299605,0.336905
or-60-20-8-UC-20.cnf,4,59.98,0.280914,0.323043
or-60-20-8-UC-30.cnf,4,59.97,0.488689,0.345618
or-60-20-8-UC-40.cnf,3,59.92,0.523766,0.321976
or-60-20-9.cnf,-,0.0,0.246551,0.004996
or-60-20-9-UC-10.cnf,3,36.0,0.432778,0.321391
or-60-20-9-UC-20.cnf,3,35.97,0.465074,0.322448
or-60-20-9-UC-30.cnf,3,35.989999999999995,0.513896,0.321
or-60-20-9-UC-40.cnf,3,36.0,0.337214,0.310445
or-60-5-10.cnf,-,0.0,0.234563,0.00503092
or-60-5-10-UC-10.cnf,4,59.96,0.415209,0.323554
or-60-5-10-UC-20.cnf,4,59.96,0.45335,0.346281
or-60-5-10-UC-30.cnf,3,59.96,0.320786,0.33966
or-60-5-10-UC-40.cnf,2,0.01,0.323293,0.307019
or-60-5-1.cnf,-,0.0,0.236956,0.00457908
or-60-5-1-UC-10.cnf,3,35.99,0.525038,0.320788
or-60-5-1-UC-20.cnf,3,59.98,0.274986,0.320394
or-60-5-1-UC-30.cnf,3,59.989999999999995,0.520319,0.338056
or-60-5-1-UC-40.cnf,2,0.02,0.45519,0.329089
or-60-5-2.cnf,-,0.0,0.233326,0.00477394
or-60-5-2-UC-10.cnf,4,59.980000000000004,0.512896,0.327821
or-60-5-2-UC-20.cnf,3,42.84,0.409605,0.328743
or-60-5-2-UC-30.cnf,3,59.96,0.486495,0.349453
or-60-5-2-UC-40.cnf,-,0.0,0.158963,0.0031011
or-60-5-3.cnf,-,0.0,0.238598,0.00398195
or-60-5-3-UC-10.cnf,4,59.959999999999994,0.476697,0.335877
or-60-5-3-UC-20.cnf,4,59.97,0.446144,0.341836
or-60-5-3-UC-30.cnf,2,0.01,0.422668,0.341177
or-60-5-3-UC-40.cnf,-,0.0,0.242266,0.00363804
or-60-5-4.cnf,-,0.0,0.235803,0.00407092
or-60-5-4-UC-10.cnf,2,0.02,0.50916,0.315692
or-60-5-4-UC-20.cnf,2,0.02,0.422845,0.317896
or-60-5-4-UC-30.cnf,2,0.02,0.423509,0.306715
or-60-5-4-UC-40.cnf,2,0.02,0.493124,0.319135
or-60-5-5.cnf,-,0.0,0.126031,0.00399509
or-60-5-5-UC-10.cnf,4,59.94,0.535218,0.323694
or-60-5-5-UC-20.cnf,3,60.05,0.519651,0.33364
or-60-5-5-UC-30.cnf,3,59.93000000000001,0.317492,0.332013
or-60-5-5-UC-40.cnf,-,0.0,0.118102,0.00531298
or-60-5-6.cnf,-,0.0,0.230136,0.00343411
or-60-5-6-UC-10.cnf,-,0.0,0.161542,0.00531696
or-60-5-6-UC-20.cnf,3,35.96,0.455608,0.316196
or-60-5-6-UC-30.cnf,3,59.96,0.267024,0.343839
or-60-5-6-UC-40.cnf,3,59.94,0.335111,0.31088
or-60-5-7.cnf,-,0.0,0.117193,0.00406404
or-60-5-7-UC-10.cnf,3,59.93,0.462001,0.349378
or-60-5-7-UC-20.cnf,3,35.98,0.286118,0.330415
or-60-5-7-UC-30.cnf,2,25.72,0.478884,0.308478
or-60-5-7-UC-40.cnf,2,39.98,0.2955,0.316041
or-60-5-8.cnf,-,0.0,0.117069,0.00529391
or-60-5-8-UC-10.cnf,3,59.92,0.519738,0.326246
or-60-5-8-UC-20.cnf,-,0.0,0.154348,0.00400088
or-60-5-8-UC-30.cnf,3,60.08,0.418735,0.331086
or-60-5-8-UC-40.cnf,2,0.02,0.315678,0.349805
or-60-5-9.cnf,-,0.0,0.153,0.0037759
or-60-5-9-UC-10.cnf,-,0.0,0.147475,0.00378496
or-60-5-9-UC-20.cnf,2,0.02,0.500883,0.350482
or-60-5-9-UC-30.cnf,2,0.02,0.31785,0.319345
or-60-5-9-UC-40.cnf,2,60.0,0.430371,0.318435
or-70-10-10.cnf,-,0.0,0.23785,0.00475696
or-70-10-10-UC-10.cnf,3,60.05,0.290611,0.352266
or-70-10-10-UC-20.cnf,-,0.0,0.165032,0.00541191
or-70-10-10-UC-30.cnf,-,0.0,0.15987,0.00554303
or-70-10-10-UC-40.cnf,-,0.0,0.134507,0.00346689
or-70-10-1.cnf,-,0.0,0.143956,0.00533997
or-70-10-1-UC-10.cnf,4,59.95,0.353547,0.321246
or-70-10-1-UC-20.cnf,4,59.99,0.559775,0.362291
or-70-10-1-UC-30.cnf,4,59.989999999999995,0.355912,0.351361
or-70-10-1-UC-40.cnf,3,49.09,0.292787,0.348182
or-70-10-2.cnf,-,0.0,0.131718,0.00638495
or-70-10-2-UC-10.cnf,4,59.980000000000004,0.465967,0.337165
or-70-10-2-UC-20.cnf,4,59.989999999999995,0.293808,0.33526
or-70-10-2-UC-30.cnf,4,60.0,0.500221,0.325534
or-70-10-2-UC-40.cnf,2,0.01,0.305058,0.321119
or-70-10-3.cnf,-,0.0,0.166318,0.00374405
or-70-10-3-UC-10.cnf,4,60.0,0.438554,0.349052
or-70-10-3-UC-20.cnf,2,0.01,0.574482,0.330891
or-70-10-3-UC-30.cnf,3,35.99,0.288957,0.34039
or-70-10-3-UC-40.cnf,2,0.02,0.521136,0.310437
or-70-10-4.cnf,-,0.0,0.145794,0.00477793
or-70-10-4-UC-10.cnf,4,49.059999999999995,0.495367,0.36071
or-70-10-4-UC-20.cnf,4,60.010000000000005,0.560613,0.342621
or-70-10-4-UC-30.cnf,4,60.03,0.43591,0.341925
or-70-10-4-UC-40.cnf,3,60.03,0.333634,0.362188
or-70-10-5.cnf,-,0.0,0.119689,0.00360109
or-70-10-5-UC-10.cnf,4,59.93,0.356894,0.334868
or-70-10-5-UC-20.cnf,4,48.0,0.547403,0.333193
or-70-10-5-UC-30.cnf,2,0.02,0.531152,0.315717
or-70-10-5-UC-40.cnf,2,0.01,0.562117,0.335643
or-70-10-6.cnf,-,0.0,0.144782,0.00461388
or-70-10-6-UC-10.cnf,3,59.97,0.346503,0.324529
or-70-10-6-UC-20.cnf,4,46.660000000000004,0.562825,0.328686
or-70-10-6-UC-30.cnf,4,46.66,0.538158,0.318084
or-70-10-6-UC-40.cnf,2,0.01,0.344397,0.337186
or-70-10-7.cnf,-,0.0,0.240367,0.00540894
or-70-10-7-UC-10.cnf,3,60.05,0.506608,0.322421
or-70-10-7-UC-20.cnf,3,60.01,0.543859,0.33557
or-70-10-7-UC-30.cnf,3,53.35,0.346238,0.342975
or-70-10-7-UC-40.cnf,3,60.0,0.543352,0.340898
or-70-10-8.cnf,-,0.0,0.159786,0.00512905
or-70-10-8-UC-10.cnf,-,0.0,0.145275,0.00465512
or-70-10-8-UC-20.cnf,3,35.980000000000004,0.488762,0.341905
or-70-10-8-UC-30.cnf,3,25.71,0.52489,0.312636
or-70-10-8-UC-40.cnf,3,35.980000000000004,0.490598,0.336391
or-70-10-9.cnf,-,0.0,0.144905,0.00458996
or-70-10-9-UC-10.cnf,3,59.97,0.522297,0.352323
or-70-10-9-UC-20.cnf,3,59.92,0.477783,0.31685
or-70-10-9-UC-30.cnf,3,50.0,0.340911,0.321004
or-70-10-9-UC-40.cnf,2,33.35,0.544929,0.317959
or-70-20-10.cnf,-,0.0,0.153762,0.00434709
or-70-20-10-UC-10.cnf,4,59.96,0.360059,0.331787
or-70-20-10-UC-20.cnf,4,60.019999999999996,0.504857,0.349457
or-70-20-10-UC-30.cnf,4,60.0,0.555956,0.369915
or-70-20-10-UC-40.cnf,4,60.08,0.59727,0.332495
or-70-20-1.cnf,-,0.0,0.244898,0.005484
or-70-20-1-UC-10.cnf,4,53.67999999999999,0.501206,0.329991
or-70-20-1-UC-20.cnf,4,60.019999999999996,0.514935,0.364897
or-70-20-1-UC-30.cnf,4,60.0,0.355922,0.362198
or-70-20-1-UC-40.cnf,4,60.01,0.293396,0.362739
or-70-20-2.cnf,-,0.0,0.163368,0.00400399
or-70-20-2-UC-10.cnf,4,60.0,0.38083,0.357961
or-70-20-2-UC-20.cnf,4,55.21,0.471034,0.362574
or-70-20-2-UC-30.cnf,4,55.71,0.503107,0.345668
or-70-20-2-UC-40.cnf,4,49.080000000000005,0.520645,0.339825
or-70-20-3.cnf,-,0.0,0.117356,0.00445788
or-70-20-3-UC-10.cnf,4,59.989999999999995,0.529869,0.347777
or-70-20-3-UC-20.cnf,4,55.39,0.475224,0.345051
or-70-20-3-UC-30.cnf,4,56.57,0.324728,0.342359
or-70-20-3-UC-40.cnf,4,60.010000000000005,0.503102,0.371879
or-70-20-4.cnf,-,0.0,0.116985,0.00481189
or-70-20-4-UC-10.cnf,4,59.989999999999995,0.495787,0.348264
or-70-20-4-UC-20.cnf,4,60.0,0.519019,0.34521
or-70-20-4-UC-30.cnf,4,59.989999999999995,0.46986,0.352096
or-70-20-4-UC-40.cnf,4,60.0,0.545601,0.322314
or-70-20-5.cnf,-,0.0,0.144027,0.00403005
or-70-20-5-UC-10.cnf,4,50.790000000000006,0.495998,0.334486
or-70-20-5-UC-20.cnf,4,60.0,0.294412,0.346678
or-70-20-5-UC-30.cnf,4,60.0,0.301829,0.345915
or-70-20-5-UC-40.cnf,4,60.0,0.590992,0.364798
or-70-20-6.cnf,-,0.0,0.230902,0.00401691
or-70-20-6-UC-10.cnf,4,59.92,0.480428,0.336082
or-70-20-6-UC-20.cnf,3,59.9,0.476469,0.346885
or-70-20-6-UC-30.cnf,3,59.980000000000004,0.297425,0.316601
or-70-20-6-UC-40.cnf,3,60.05,0.391087,0.30761
or-70-20-7.cnf,-,0.0,0.159658,0.00589002
or-70-20-7-UC-10.cnf,3,44.980000000000004,0.439133,0.328471
or-70-20-7-UC-20.cnf,4,60.01,0.315989,0.347611
or-70-20-7-UC-30.cnf,4,55.86,0.419242,0.349318
or-70-20-7-UC-40.cnf,5,60.01,0.286913,0.339614
or-70-20-8.cnf,-,0.0,0.119581,0.00468408
or-70-20-8-UC-10.cnf,4,60.0,0.29267,0.348008
or-70-20-8-UC-20.cnf,4,60.019999999999996,0.494755,0.372416
or-70-20-8-UC-30.cnf,4,54.8,0.562002,0.377794
or-70-20-8-UC-40.cnf,6,47.589999999999996,0.287208,0.35259
or-70-20-9.cnf,-,0.0,0.241136,0.00323395
or-70-20-9-UC-10.cnf,3,35.980000000000004,0.365102,0.344503
or-70-20-9-UC-20.cnf,3,48.0,0.343436,0.320383
or-70-20-9-UC-30.cnf,3,36.01,0.436472,0.321131
or-70-20-9-UC-40.cnf,2,38.21,0.528961,0.324983
or-70-5-10.cnf,-,0.0,0.236559,0.00552292
or-70-5-10-UC-10.cnf,4,59.99,0.452794,0.335316
or-70-5-10-UC-20.cnf,2,0.02,0.507196,0.357278
or-70-5-10-UC-30.cnf,3,59.98,0.556307,0.328054
or-70-5-10-UC-40.cnf,2,59.989999999999995,0.304754,0.317589
or-70-5-1.cnf,-,0.0,0.117044,0.0041739
or-70-5-1-UC-10.cnf,3,59.92999999999999,0.532085,0.326917
or-70-5-1-UC-20.cnf,3,59.900000000000006,0.455938,0.350818
or-70-5-1-UC-30.cnf,-,0.0,0.153042,0.00409892
or-70-5-1-UC-40.cnf,-,0.0,0.15047,0.00307209
or-70-5-2.cnf,-,0.0,0.243593,0.00486312
or-70-5-2-UC-10.cnf,3,60.05,0.547604,0.349035
or-70-5-2-UC-20.cnf,3,60.08,0.346295,0.316358
or-70-5-2-UC-30.cnf,-,0.0,0.239073,0.00286104
or-70-5-2-UC-40.cnf,-,0.0,0.237433,0.00543103
or-70-5-3.cnf,-,0.0,0.145962,0.00474491
or-70-5-3-UC-10.cnf,-,0.0,0.220117,0.00377789
or-70-5-3-UC-20.cnf,-,0.0,0.228747,0.00491799
or-70-5-3-UC-30.cnf,3,59.83,0.569929,0.337204
or-70-5-3-UC-40.cnf,-,0.0,0.118076,0.00508204
or-70-5-4.cnf,-,0.0,0.145279,0.00549897
or-70-5-4-UC-10.cnf,4,39.99,0.304827,0.326392
or-70-5-4-UC-20.cnf,4,39.97,0.301151,0.317897
or-70-5-4-UC-30.cnf,3,51.42,0.520682,0.344445
or-70-5-4-UC-40.cnf,3,36.0,0.292748,0.323163
or-70-5-5.cnf,-,0.0,0.117994,0.00367511
or-70-5-5-UC-10.cnf,-,0.0,0.143215,0.00505295
or-70-5-5-UC-20.cnf,4,59.95,0.582085,0.350957
or-70-5-5-UC-30.cnf,3,59.95,0.528501,0.324417
or-70-5-5-UC-40.cnf,2,0.02,0.463059,0.339021
or-70-5-6.cnf,-,0.0,0.147139,0.00543903
or-70-5-6-UC-10.cnf,4,60.04,0.583882,0.320274
or-70-5-6-UC-20.cnf,4,59.95,0.534033,0.338366
or-70-5-6-UC-30.cnf,4,59.92999999999999,0.506276,0.33821
or-70-5-6-UC-40.cnf,-,0.0,0.117579,0.00323895
or-70-5-7.cnf,-,0.0,0.116985,0.004303
or-70-5-7-UC-10.cnf,4,59.96,0.424384,0.334379
or-70-5-7-UC-20.cnf,4,59.97,0.525376,0.345748
or-70-5-7-UC-30.cnf,3,59.94,0.513888,0.325993
or-70-5-7-UC-40.cnf,2,0.01,0.408973,0.322285
or-70-5-8.cnf,-,0.0,0.133861,0.00445198
or-70-5-8-UC-10.cnf,4,59.959999999999994,0.525826,0.328378
or-70-5-8-UC-20.cnf,4,59.97,0.516052,0.327106
or-70-5-8-UC-30.cnf,3,42.86,0.601916,0.324754
or-70-5-8-UC-40.cnf,2,60.0,0.450834,0.310218
or-70-5-9.cnf,-,0.0,0.160134,0.004478
or-70-5-9-UC-10.cnf,3,59.96,0.357227,0.329963
or-70-5-9-UC-20.cnf,2,60.0,0.574738,0.317189
or-70-5-9-UC-30.cnf,2,36.0,0.521571,0.346362
or-70-5-9-UC-40.cnf,-,0.0,0.246671,0.00442404
prob001.pddl.cnf,14,57.91,0.896697,0.605338
prob002.pddl.cnf,123,60.11,51.0718,TO
prob003.pddl.cnf,90,60.04,46.542,TO
prob004.pddl.cnf,75,60.61,50.423,TO
prob005.pddl.cnf,123,143.95000000000002,83.1974,TO
prob012.pddl.cnf,101,77.11,112.173,TO
ra.cnf,34,60.49,73.3868,TO
rb.cnf,51,61.36,77.3388,TO
rc.cnf,68,80.83,105.822,TO
s1196a_15_7.cnf,36,60.19,10.0541,TO
s1196a_3_2.cnf,36,60.13,5.24043,TO
s1196a_7_4.cnf,40,60.15,52.9723,TO
s1238a_15_7.cnf,42,60.28,47.5211,TO
s1238a_3_2.cnf,39,60.19,22.882,TO
s1238a_7_4.cnf,38,60.16,50.556,TO
s13207a_15_7.cnf,59,65.84,TO,TO
s13207a_3_2.cnf,58,TO,329.283,TO
s13207a_7_4.cnf,60,64.56,TO,TO
s1423a_15_7.cnf,18,60.21,2.23247,0.629217
s1423a_3_2.cnf,13,60.089999999999996,0.998509,0.639992
s1423a_7_4.cnf,19,60.11,2.34701,0.659132
s1488_15_7.cnf,29,60.08,18.9195,146.292
s1488_3_2.cnf,30,60.04,14.8971,164.232
s1488_7_4.cnf,29,60.04,22.7369,139.977
s15850a_15_7.cnf,63,TO,TO,TO
s15850a_3_2.cnf,60,665.43,TO,TO
s15850a_7_4.cnf,62,TO,TO,TO
s27_15_7.cnf,4,59.980000000000004,0.262557,0.290616
s27_3_2.cnf,4,59.94,0.25715,0.296693
s27_7_4.cnf,4,59.97,0.244144,0.304041
s298_15_7.cnf,10,60.07,0.592851,0.39262
s298_3_2.cnf,8,60.02,0.481842,0.40039
s298_7_4.cnf,10,60.02,0.456363,0.399687
s344_15_7.cnf,10,60.0,0.498054,0.383907
s344_3_2.cnf,8,60.019999999999996,0.51976,0.403183
s344_7_4.cnf,7,60.05,0.449312,0.374932
s349_15_7.cnf,9,59.97,0.386209,0.41331
s349_3_2.cnf,6,60.02,0.455232,0.386976
s349_7_4.cnf,8,60.019999999999996,0.490591,0.408424
s35932_15_7.cnf,18,59.96,39.3479,26.4776
s35932_3_2.cnf,18,60.07,43.0152,25.1764
s35932_7_4.cnf,20,60.18,47.3927,25.7654
s382_15_7.cnf,9,60.01,0.47446,0.450051
s382_3_2.cnf,7,60.06,0.414342,0.387501
s382_7_4.cnf,8,60.05,0.444489,0.417705
s38417_15_7.cnf,37,TO,TO,TO
s38417_3_2.cnf,37,TO,TO,TO
s38417_7_4.cnf,34,TO,TO,TO
s38584_15_7.cnf,79,TO,TO,TO
s38584_3_2.cnf,76,TO,TO,TO
s38584_7_4.cnf,78,TO,TO,TO
s420_15_7.cnf,11,60.010000000000005,0.466172,0.407079
s420_3_2.cnf,9,60.02,0.274338,0.408413
s420_7_4.cnf,10,60.0,0.430711,0.401476
s444_15_7.cnf,10,60.02,0.457815,0.429905
s444_3_2.cnf,8,60.0,0.331687,0.415827
s444_7_4.cnf,10,60.019999999999996,0.423865,0.379638
s510_15_7.cnf,16,60.019999999999996,0.521464,0.424513
s510_3_2.cnf,15,60.019999999999996,0.536343,0.409994
s510_7_4.cnf,19,60.03,0.538255,0.465934
s526_15_7.cnf,17,60.17,0.869241,0.516735
s526_3_2.cnf,13,60.029999999999994,0.561227,0.467309
s526_7_4.cnf,15,60.059999999999995,0.820586,0.497192
s526a_15_7.cnf,17,60.08,0.83645,0.460576
s526a_3_2.cnf,14,60.03,0.72546,0.463637
s526a_7_4.cnf,15,60.04,0.697559,0.477684
s5378a_15_7.cnf,45,TO,TO,TO
s5378a_3_2.cnf,45,TO,TO,TO
s5378a_7_4.cnf,47,TO,TO,TO
s641_15_7.cnf,16,60.1,1.2656,0.464774
s641_3_2.cnf,18,60.01,2.05077,0.446299
s641_7_4.cnf,15,60.02,0.715806,0.455899
s713_15_7.cnf,15,60.05,0.987718,0.449922
s713_3_2.cnf,10,60.019999999999996,0.425434,0.427649
s713_7_4.cnf,16,60.080000000000005,1.68168,0.417233
s820a_15_7.cnf,9,60.02,0.517782,0.483816
s820a_3_2.cnf,5,59.99,0.347645,0.407392
s820a_7_4.cnf,7,60.01,0.462745,0.447993
s832a_15_7.cnf,12,60.029999999999994,0.706074,0.508903
s832a_3_2.cnf,8,59.910000000000004,0.409489,0.51087
s832a_7_4.cnf,10,60.02,0.4336,0.440092
s838_15_7.cnf,11,60.019999999999996,0.438885,0.518784
s838_3_2.cnf,9,60.059999999999995,0.521125,0.545569
s838_7_4.cnf,10,60.03,0.534639,0.532234
s9234a_15_7.cnf,44,TO,TO,TO
s9234a_3_2.cnf,47,195.47,TO,TO
s9234a_7_4.cnf,44,122.53,TO,TO
s953a_15_7.cnf,37,60.040000000000006,13.2256,TO
s953a_3_2.cnf,31,60.03,6.70545,168.262
s953a_7_4.cnf,39,60.1,34.0216,TO
sat-grid-pbl-0010.cnf,8,11.81,0.35433,0.395916
sat-grid-pbl-0015.cnf,10,11.43,0.516265,0.485075
sat-grid-pbl-0020.cnf,10,15.82,0.453837,0.642187
sat-grid-pbl-0025.cnf,22,25.36,31.1251,1.40907
sat-grid-pbl-0030.cnf,18,10.96,3.00983,1.12404
tire-1.cnf,8,60.019999999999996,0.744295,0.413967
tire-2.cnf,7,60.11,1.56141,0.428949
tire-3.cnf,16,60.07,0.933368,0.547565
tire-4.cnf,14,60.120000000000005,2.13867,0.532046
